Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
HUDIX,1,42549,18.17,51.11,52,48.33,36,8,1.0,5000,9,-9.46,0,1,0
SWSCX,2,2227,8.12,38.72,327,9.46,113,8,1.09,0,627,-6.5200000000000005,0,1,0
TSLTX,3,2061,1.94,44.26,107,14.57,80,2,0.92,0,1063,-9.02,0,1,0
BIOUX,2,67411,3.78,32.67,78,33.37,43,15,1.08,5000000,1409,28.33,1,1,0
IMANX,4,60529,13.16,30.83,90,27.8,95,21,1.33,250,158,2.25,1,1,0
MDKIX,2,6298,10.65,40.51,403,7.55,18,8,0.28,0,446,-2.27,0,1,0
MFULX,3,47535,12.25,47.16,154,19.97,54,2,0.96,0,599,-9.02,0,1,0
VYSZX,3,3045,4.07,41.19,159,12.06,135,12,2.11,1000,415,-7.34,0,0,0
JAMVX,2,10204,16.65,42.05,65,26.62,43,7,0.81,0,117,-7.9300000000000015,0,1,0
JVTSX,4,4014,-0.84,34.17,136,19.87,25,6,1.17,2500,4217,4.369999999999999,1,1,1
PMJAX,4,1830,0.62,46.75,782,12.57,202,6,0.93,1000,552,-4.670000000000001,0,0,0
BMGKX,3,19574,15.58,35.82,77,26.43,35,8,0.73,5000000,14123,11.549999999999995,1,1,0
DSCPX,2,2677,11.08,42.82,34,44.04,66,6,0.95,5000,417,2.9600000000000013,1,1,0
WMGRX,4,21262,13.6,31.11,69,26.98,22,12,1.55,0,7278,12.849999999999998,1,0,0
PEQNX,2,77240,19.73,51.57,92,25.41,12,5,1.66,0,13624,-5.880000000000001,0,0,1
FMSTX,3,40662,19.06,47.74,101,22.73,139,8,0.76,1000000,1179,-6.65,0,1,0
BAFWX,4,102955,29.34,41.05,34,39.02,20,9,0.7,1000000,4843,10.95,1,1,0
PJDCX,3,86534,26.19,53.06,63,26.45,106,7,1.99,1000,24,-3.390000000000001,0,0,0
BEQAX,3,94926,26.05,49.45,188,24.36,113,2,0.92,2500,2444,-2.180000000000001,0,0,0
TSPRX,4,3382,1.92,32.35,49,34.88,69,5,1.49,0,223,4.049999999999999,1,0,0
SCECX,4,3632,10.63,37.22,969,5.07,28,8,0.55,100000,262,-3.95,0,1,0
MOTYX,4,18099,15.97,42.59,87,25.3,164,1,1.09,0,71,6.82,1,1,0
CGRNX,1,63265,11.07,48.9,36,46.22,11,2,1.18,0,577,-9.03,0,0,0
MADAX,4,121126,27.19,46.85,43,35.46,33,8,1.17,1000,313,-4.0200000000000005,0,0,0
TCMHX,4,17571,4.0,40.53,111,19.8,107,2,0.56,0,1705,8.0,1,1,0
WMGYX,4,21262,13.6,31.11,69,26.98,22,12,1.2,0,7278,13.65,1,1,0
CBMYX,3,7898,11.11,39.59,50,28.61,45,14,0.8,0,573,-5.57,0,1,0
LTFOX,4,93311,24.07,52.63,72,21.94,63,4,0.39,0,5791,-7.32,0,1,0
MPILX,3,57293,19.33,38.64,111,25.44,57,0,1.02,0,95,-9.96,0,1,0
MPGLX,4,256718,40.8,41.38,73,42.68,50,0,0.86,0,265,4.919999999999998,1,1,0
STSOX,3,5813,11.63,36.55,44,34.51,8,10,2.0,1000,504,-9.45,0,0,0
BVPIX,3,41703,21.01,47.12,58,28.39,40,6,0.7,5000,3,-8.99,0,1,0
MNRGX,2,153558,30.84,46.86,29,53.46,12,22,0.99,1000,14,2.8999999999999986,1,1,0
VHIAX,3,128578,28.69,43.23,84,37.27,47,10,1.14,1000,14589,13.709999999999996,1,0,0
MSSYX,1,4584,-10.0,39.72,113,25.73,206,11,0.9,5000000,27,13.69,1,1,0
RYPRX,5,4361,13.03,30.08,55,26.91,19,17,1.19,2000,1794,-2.040000000000001,0,1,0
JIGZX,4,201243,35.45,46.87,89,43.29,96,5,1.09,0,1329,2.75,1,0,0
ANODX,3,4039,-1.98,41.98,143,13.37,141,5,0.87,0,1954,13.779999999999998,1,1,0
LADYX,3,5286,-6.16,30.88,102,17.28,122,6,0.69,1000000,5141,24.27,1,1,0
SNXFX,3,131662,24.44,45.14,992,24.0,4,4,0.05,0,11862,2.6499999999999986,1,1,0
BGRUX,4,13352,12.19,49.47,54,54.73,2,15,1.04,5000000,8662,8.149999999999999,1,1,0
MKFOX,4,203435,30.85,43.45,46,46.84,47,4,0.62,5000000,2011,10.989999999999998,1,1,0
VMVIX,3,19074,11.69,49.17,199,10.96,17,10,0.19,3000,21624,-6.840000000000002,0,1,1
FLCNX,3,244453,26.3,36.33,359,45.19,39,4,0.45,0,17402,5.01,1,1,0
ABSAX,3,2475,5.65,39.08,640,11.91,61,11,1.26,2500,5786,-8.600000000000001,0,0,0
APDSX,4,7157,-6.83,33.12,62,38.44,41,12,1.08,250000,4014,19.75,1,1,0
PSGAX,5,6245,23.82,29.37,31,53.07,17,12,1.35,2500,7625,15.819999999999995,1,0,1
DFDPX,2,45994,20.38,43.32,41,40.51,23,12,1.0,2500,402,8.25,1,1,0
ACFNX,1,97420,8.57,42.44,40,50.68,27,5,0.5,0,2100,21.3,1,1,0
ZSCCX,2,1408,5.38,32.21,103,19.62,114,10,1.39,2500,49,-9.87,0,1,0
JGACX,3,128578,28.69,43.23,84,37.27,47,10,1.64,1000,14100,12.57,1,0,0
SSPSX,4,277608,32.38,42.3,43,50.26,28,3,0.69,5000000,88,8.489999999999998,1,1,0
MFVZX,3,118460,24.13,51.41,71,37.72,41,4,0.74,0,762,-2.1000000000000014,0,1,0
LDFVX,2,64834,22.2,47.85,75,22.34,59,2,0.94,1500,1832,-7.6800000000000015,0,0,0
COPLX,1,67578,19.57,50.98,61,42.37,25,3,2.14,1000,96,-3.4700000000000006,0,1,0
WMGCX,4,21262,13.6,31.11,69,26.98,22,12,1.95,750,7278,11.97,1,0,0
NEOMX,3,17247,4.63,31.87,25,30.22,99,0,1.45,2500,6,-5.940000000000001,0,0,0
GQESX,4,216933,32.8,42.04,51,42.51,17,6,0.49,0,7426,3.1999999999999997,1,1,0
GGOIX,4,23307,11.29,44.24,91,21.52,65,12,0.91,1000000,1429,9.27,1,1,0
PCMVX,3,12080,9.74,40.77,717,13.97,66,12,1.27,1000,2393,-5.92,0,0,0
GBSYX,3,3332,17.41,30.45,56,30.2,35,5,1.08,100000,44,-3.8400000000000007,0,1,0
LMMRX,2,153878,25.88,50.45,55,33.57,14,7,1.36,0,7027,-3.9300000000000006,0,0,0
IATIX,1,92797,13.58,40.45,39,45.39,85,2,0.87,0,1883,9.689999999999998,1,1,0
FDTIX,2,142746,26.13,43.21,203,31.22,78,4,0.6,0,2588,2.25,1,1,0
ATVIX,2,1895,-1.57,38.28,3,98.8,96,4,1.25,100000,30,3.76,1,1,0
BAGAX,3,114380,25.9,41.63,32,40.05,22,22,1.09,100,3172,8.829999999999998,1,1,0
FSMVX,3,9798,16.28,37.42,87,37.19,83,4,0.45,0,1246,-10.07,0,1,0
PXSGX,5,6245,23.82,29.37,31,53.07,17,12,1.09,100000,7625,16.43,1,1,1
JVMTX,3,15038,8.69,46.18,148,14.88,54,15,1.0,0,14422,-7.15,0,1,0
NSNCX,3,4756,-4.83,37.83,99,18.32,128,5,2.01,2500,440,13.7,1,0,0
MAISX,2,5048,2.84,45.86,152,10.93,72,8,1.13,2500,157,-8.860000000000003,0,0,0
JNMCX,2,10030,17.4,42.24,64,27.94,37,7,0.89,2500,2713,-8.010000000000002,0,1,1
NBDRX,4,142922,28.97,46.2,41,35.09,49,2,1.2,0,6023,-2.8100000000000014,0,0,0
ARGFX,5,6303,3.42,48.12,38,38.79,23,19,1.04,1000,2182,-5.830000000000001,0,1,0
ONRDX,5,173857,33.65,51.46,71,35.13,28,3,1.29,0,2868,-2.400000000000001,0,0,0
MEGBX,4,226023,28.24,40.32,76,43.55,11,11,1.65,1000,40877,6.449999999999998,1,0,0
PEQCX,2,77240,19.73,51.57,92,25.41,12,5,1.66,0,13624,-5.880000000000001,0,0,0
PGBEX,4,229658,29.56,46.28,42,55.8,30,8,1.12,0,8859,8.909999999999998,1,1,0
LEICX,2,56490,14.83,46.51,73,25.74,97,6,1.87,1500,834,-10.35,0,0,0
JDPAX,2,10030,17.4,42.24,64,27.94,37,7,1.19,2500,2713,-8.610000000000001,0,0,0
OIEFX,3,90410,19.37,46.33,87,22.55,22,6,1.23,0,37352,-6.1400000000000015,0,0,0
JFRNX,3,233213,30.52,42.87,41,48.44,42,6,0.67,1000000,19121,10.439999999999998,1,1,0
TWQAX,1,96739,18.2,43.71,45,32.52,184,0,1.07,1000,1911,-10.3,0,0,0
AFALX,4,32504,23.49,52.32,87,16.51,30,15,1.21,1000,47,-5.990000000000001,0,1,0
RFNAX,2,104576,18.85,43.92,327,23.69,40,9,1.4,250,117632,-3.4700000000000006,0,0,0
AFICX,2,104576,18.85,43.92,327,23.69,40,9,1.37,250,117632,-3.400000000000001,0,0,0
DVIPX,3,77327,19.22,49.95,43,32.28,28,8,0.88,5000,735,-8.030000000000001,0,1,0
DNVYX,3,129640,16.03,35.06,40,53.73,11,16,0.65,5000000,8552,-3.910000000000001,0,1,0
WEQRX,5,136031,25.23,46.74,52,33.58,41,1,0.89,2500,21,-3.94,0,1,0
SSMEX,4,3632,10.63,37.22,969,5.07,28,8,0.0,1000,262,-4.990000000000001,0,0,0
STSAX,3,7540,5.55,43.65,84,18.39,61,2,2.01,1000,1039,-4.510000000000002,0,0,0
IASSX,3,8875,9.19,41.92,194,14.31,52,10,1.09,0,356,-6.750000000000001,0,1,0
MAAAX,3,65672,20.45,41.28,67,33.01,41,9,1.24,15000,455,-4.550000000000002,0,0,0
HNACX,3,253608,20.18,39.07,58,45.29,51,11,0.58,1000000,41891,12.61,1,1,0
LMIYX,1,1948,-15.21,25.26,84,25.0,115,6,1.44,1000000,258,26.51,1,1,0
IASAX,3,8875,9.19,41.92,194,14.31,52,10,1.34,0,348,-7.260000000000002,0,0,0
SPWYX,4,4256,5.07,33.17,95,19.91,20,10,1.14,100000,446,8.619999999999997,1,1,0
CLSPX,4,18646,14.64,33.46,66,22.99,63,3,0.9,2000,2115,7.220000000000002,1,1,0
CLRYX,3,224021,26.09,41.34,49,46.3,42,3,0.69,1000000,1883,9.38,1,1,0
FETKX,2,45828,17.83,47.8,118,22.28,52,4,0.51,0,5284,-6.65,0,1,0
MGOTX,4,18598,12.91,44.46,93,17.5,86,11,2.03,2500,577,-5.24,0,0,0
HRSMX,2,3140,-7.41,40.08,94,28.17,157,15,1.05,25000,1032,13.13,1,1,0
FIVVX,3,12438,11.96,45.51,96,19.03,120,1,0.79,0,694,-8.5,0,1,0
IICHX,4,155937,35.29,49.49,45,41.26,33,1,1.76,3000000,45,-3.530000000000001,0,1,0
WOOSX,4,8367,18.6,42.95,96,18.33,92,0,0.64,15000000,412,-4.760000000000002,0,1,0
CSGYX,3,4904,-2.98,34.93,94,25.2,76,10,0.9,1000000,2803,23.22,1,1,0
FTXFX,3,4140,-2.92,41.97,53,24.83,128,3,0.9,1000000,91,12.080000000000002,1,1,0
ACVIX,4,2270,3.66,42.21,102,23.62,71,5,1.05,5000000,3169,-3.7500000000000013,0,1,0
PSTAX,2,112200,18.38,35.31,44,49.59,4,5,1.22,2500,776,8.440000000000001,1,0,0
GQEFX,4,216933,32.8,42.04,51,42.51,17,6,0.44,125000000,7426,3.3100000000000005,1,1,0
OGRIX,1,63265,11.07,48.9,36,46.22,11,2,0.52,1000000,577,-7.7200000000000015,0,1,0
EPLPX,2,80376,24.77,51.58,106,18.13,29,10,1.08,15000,974,-7.27,0,0,0
CWCFX,1,19944,9.13,34.97,73,40.33,49,6,1.22,3500,66,7.52,1,1,0
AWSHX,2,117267,20.76,46.39,182,30.64,30,9,0.58,250,138572,-3.1500000000000004,0,0,0
SUVAX,3,39815,6.3,42.58,197,17.7,56,7,1.13,1000,338,-13.02,0,0,0
CZMGX,3,192769,29.72,41.42,158,35.71,42,6,0.76,100,3828,6.9899999999999975,1,1,0
TRPSX,4,81723,25.74,46.58,632,21.51,26,11,0.33,0,6538,2.1,1,1,0
ADVGX,1,33038,17.68,44.19,32,40.5,49,9,0.97,1000000,5,-6.33,0,1,0
WPASX,4,100343,29.22,47.96,21,63.01,23,12,1.12,2500,981,5.399999999999999,1,0,0
AMPAX,2,8740,2.21,48.49,124,18.37,35,6,1.21,2500,195,-11.53,0,1,0
MVCHX,3,13303,6.25,43.82,152,11.35,19,12,1.06,0,11700,-5.800000000000002,0,1,0
MNDGX,4,4364,-1.95,38.99,121,18.02,64,7,2.03,0,2840,12.689999999999998,1,0,0
OAZMX,2,64126,13.81,49.08,55,32.11,35,14,0.63,0,13521,-5.120000000000001,0,1,0
HRVIX,1,1752,4.7,35.79,47,35.52,51,10,1.19,1000,406,-3.3599999999999994,0,1,0
MSSVX,1,4584,-10.0,39.72,113,25.73,206,11,1.3,2000,27,12.829999999999998,1,1,0
LBRTX,4,2439,6.79,43.68,92,17.12,49,8,1.27,1000,1225,-4.66,0,0,0
UMBHX,4,3188,5.3,35.71,76,22.87,22,9,0.95,10000,434,6.190000000000001,1,1,0
FMGGX,3,17088,2.16,37.87,126,18.99,53,16,0.48,1000000,5241,13.29,1,1,0
HMVTX,2,8695,8.54,40.9,83,19.39,61,4,0.92,0,746,-7.360000000000001,0,1,0
AUXFX,4,105553,25.6,46.34,106,41.63,2,22,0.95,5000,237,-6.370000000000001,0,1,0
LMCQX,3,11132,14.38,44.93,77,18.35,69,5,1.33,0,1354,-9.43,0,0,0
USLYX,4,151131,18.51,41.1,30,43.85,50,14,1.27,0,2259,8.280000000000001,1,1,0
FVLCX,5,68687,16.81,39.21,54,37.25,144,6,2.0,0,21,-13.12,0,0,0
RICCX,2,165629,22.23,45.93,207,34.18,31,14,0.93,250,111362,-3.5600000000000005,0,0,0
FMPEX,3,9798,16.28,37.42,87,37.19,83,4,1.5,0,1246,-12.14,0,0,0
OEGNX,4,20068,16.7,36.63,91,20.13,131,10,1.32,0,6886,7.849999999999998,1,0,0
HDSVX,1,901,0.74,45.15,43,33.39,115,7,1.29,1000,14,-8.170000000000002,0,1,0
DFRIX,1,10908,4.55,35.43,41,39.08,113,5,1.35,0,5109,21.93,1,0,0
TQSAX,2,6464,11.58,40.43,350,6.02,37,2,1.14,2500,150,-3.4800000000000004,0,1,0
INSAX,3,44085,3.24,34.07,33,56.51,249,10,1.54,2500,48,-3.390000000000001,0,0,0
ALGYX,3,252652,26.95,40.52,51,52.98,100,7,0.63,500000,1297,12.29,1,1,0
IDAEX,3,44692,23.24,47.12,66,17.58,40,3,0.6,250,410,-2.9000000000000004,0,0,0
PMBPX,4,22908,14.58,53.61,84,29.55,14,14,0.84,0,21087,2.28,1,1,1
CDGIX,4,102852,32.06,51.31,41,36.3,7,4,0.98,10000,54,-4.110000000000001,0,1,0
WDSCX,2,12355,3.33,33.41,75,21.8,53,10,1.96,1000,3469,12.25,1,0,0
LAMGX,1,1948,-15.21,25.26,84,25.0,115,6,1.56,1500,258,26.299999999999994,1,0,0
HDCTX,4,83547,27.72,51.36,51,28.98,394,1,1.0,1000,61,-7.050000000000002,0,1,0
LVOAX,2,6988,15.59,39.31,74,19.9,36,2,1.18,1500,1621,-3.7600000000000007,0,0,0
KCGIX,4,170183,31.93,45.28,69,42.23,93,5,0.9,25000,111,5.6999999999999975,1,1,0
SSDCX,3,3646,2.36,40.18,126,18.92,14,4,1.97,1000,422,-2.97,0,0,0
WLGRX,4,239768,33.74,41.39,43,50.72,33,4,1.4,0,5668,6.530000000000001,1,0,0
HSLRX,3,3893,-1.72,36.8,174,11.02,58,6,1.49,0,984,3.129999999999999,1,0,0
HNVRX,3,4203,8.42,39.53,56,29.87,17,19,0.8,1000000,2291,-3.82,0,1,0
PPQMX,4,21035,16.32,36.97,391,17.86,51,12,1.44,0,1086,5.7499999999999964,1,1,0
VIVIX,3,93077,18.62,48.01,328,22.01,12,15,0.04,5000000,99101,-5.15,0,1,0
YOVIX,5,3507,7.46,33.22,52,35.45,36,3,1.15,1000000,45,5.089999999999998,1,1,0
VMCRX,4,21320,8.98,45.02,68,25.86,95,9,0.66,0,2295,5.6400000000000015,1,1,0
MMEAX,2,592,-2.27,42.18,146,11.18,40,7,1.59,2500,78,-9.97,0,0,0
VSPIX,3,71972,28.52,44.86,79,30.32,102,2,1.05,2000000,48,-3.810000000000001,0,1,0
LADIX,2,46761,28.24,54.67,83,36.62,47,9,0.94,1000000,318,-4.23,0,1,0
PEXMX,2,7307,0.34,39.32,1548,7.54,17,1,0.35,2500,1243,4.24,1,1,0
LAVFX,2,64834,22.2,47.85,75,22.34,59,2,0.79,0,1832,-7.360000000000001,0,1,0
FEIKX,2,90730,17.84,46.17,131,20.49,32,9,0.5,0,6690,-4.3900000000000015,0,1,0
GQLOX,4,216933,32.8,42.04,51,42.51,17,6,0.39,300000000,7426,3.419999999999998,1,1,0
PNAIX,2,114676,19.51,42.54,91,32.78,84,5,0.65,1000000,7760,11.510000000000002,1,1,0
BRAGX,4,32056,19.51,47.81,92,19.03,125,19,0.28,2000,176,-9.19,0,1,0
BFTHX,3,113326,11.21,33.46,39,41.05,12,9,1.0,2000,713,11.989999999999998,1,1,0
FSCCX,2,2348,5.14,39.52,87,17.49,30,10,0.95,100000,835,-14.080000000000002,0,1,0
RSSRX,2,8791,9.0,42.98,61,26.7,74,10,1.06,0,241,5.469999999999998,1,1,0
EVSHX,3,174967,28.72,44.26,170,28.68,50,3,1.1,0,1000,-2.140000000000001,0,1,0
DFFVX,3,2483,1.9,38.76,1395,6.32,20,5,0.37,0,11428,-7.450000000000001,0,1,0
DFSIX,2,60678,23.33,43.91,2054,19.4,5,5,0.25,0,4027,2.3599999999999994,1,1,0
STFFX,3,226787,24.5,39.31,66,50.65,34,11,0.65,0,1150,6.52,1,1,0
ARFFX,1,14486,19.45,50.47,32,50.54,22,16,1.0,1000,56,-6.86,0,1,0
RDERX,3,78571,15.06,45.17,71,26.29,15,8,0.77,2000,2446,-5.770000000000001,0,1,0
WSCJX,2,2159,6.88,35.14,310,8.15,67,3,0.5,0,26,-5.1400000000000015,0,1,0
HAGAX,5,24700,8.33,37.08,97,21.92,27,17,1.04,1000,7987,6.399999999999999,1,0,0
PYVSX,3,90212,24.8,52.89,90,21.59,63,3,0.65,50000000,1629,-5.540000000000001,0,1,0
BARAX,5,24121,18.24,42.69,66,38.09,9,18,1.31,2000,5910,7.039999999999999,1,1,0
DEVLX,3,3378,7.59,37.93,112,19.85,18,10,1.15,1000,5264,-9.98,0,0,0
RFNBX,2,104576,18.85,43.92,327,23.69,40,9,1.4,250,117632,-3.4600000000000013,0,0,0
MAWBX,3,65672,20.45,41.28,67,33.01,41,9,2.25,1000,455,-6.620000000000001,0,0,1
ALPAX,3,94888,17.59,40.99,45,40.88,72,2,1.09,2500,871,-7.1400000000000015,0,0,0
PDIAX,3,45665,25.44,50.38,36,39.08,118,0,1.23,2500,137,-3.9700000000000006,0,0,0
ODIIX,3,5248,5.78,34.68,115,20.15,76,11,0.65,1000000,4336,14.490000000000002,1,1,1
MRGKX,2,105802,23.81,43.71,190,29.76,46,13,0.63,0,4822,2.4999999999999982,1,1,0
MFECX,4,226023,28.24,40.32,76,43.55,11,11,1.65,1000,40877,6.449999999999998,1,0,0
HWMAX,2,6389,-3.17,46.99,70,33.19,27,16,1.22,2500,370,-14.72,0,0,0
BWLYX,3,38353,16.57,45.66,104,15.96,44,16,0.8,100000,955,-10.37,0,1,0
EKJYX,2,98404,14.53,36.22,79,39.37,45,8,0.7,1000000,3269,9.56,1,1,0
TPLNX,1,1768,6.13,39.57,60,28.06,73,9,1.47,1000,140,-7.710000000000001,0,0,0
LBSCX,4,120837,28.44,48.58,82,26.47,14,12,1.69,2000,29214,-4.690000000000001,0,0,0
JGMAX,3,5791,4.5,40.7,125,19.08,32,6,1.12,2500,12900,2.5700000000000003,1,0,1
VLMIX,4,16070,24.47,33.54,31,46.59,19,12,0.86,100000,461,5.100000000000001,1,1,0
PGWIX,3,18989,4.03,35.93,61,25.57,121,6,0.75,0,263,12.41,1,1,0
RDVCX,2,5181,14.77,29.98,69,34.63,8,9,2.09,2000,75,-10.12,0,0,0
KAUAX,1,14514,1.8,27.59,183,20.73,38,12,1.94,1500,8678,5.839999999999996,1,0,0
CYSRX,3,3489,2.4,31.31,88,18.51,91,4,1.08,0,365,6.059999999999999,1,1,0
MSAFX,3,8462,5.29,46.88,52,27.51,38,5,0.79,1000000,1804,-8.860000000000003,0,1,0
NMGRX,3,19946,6.77,40.72,92,17.59,55,7,1.31,0,1919,6.460000000000001,1,0,0
JCVCX,2,25171,-1.16,46.78,39,39.39,35,12,1.93,1000,1871,-14.4,0,0,0
LRSRX,3,2302,8.29,41.39,75,20.79,95,2,1.45,0,674,-9.53,0,0,0
EBCGX,5,21470,13.35,39.89,107,23.0,34,11,1.84,250,14337,6.939999999999998,1,0,0
TOTTX,2,12508,6.58,44.08,67,23.43,82,4,0.75,0,1589,-5.300000000000002,0,1,0
FDETX,1,98673,19.19,50.9,174,37.79,26,7,0.57,0,3635,-3.1000000000000014,0,1,1
KAUFX,1,14514,1.8,27.59,183,20.73,38,12,1.95,0,8678,5.780000000000001,1,0,0
CMUAX,3,17304,6.83,46.28,51,27.66,28,5,1.16,2000,2250,-5.5200000000000005,0,0,0
LCBEX,2,153878,25.88,50.45,55,33.57,14,7,0.67,1000000,7027,-2.49,0,1,0
PGSGX,3,4844,-5.18,32.5,127,15.75,51,8,1.24,1000,7098,15.46,1,0,0
JDNRX,5,155413,34.22,50.18,69,38.5,24,10,1.4,2500,6431,-2.99,0,0,0
TWVLX,2,59084,9.65,42.43,98,26.33,46,13,1.0,2500,2390,-7.4300000000000015,0,1,0
LVOOX,2,6988,15.59,39.31,74,19.9,36,2,0.83,0,1621,-3.0100000000000016,0,1,0
CSCZX,2,1315,3.09,31.89,193,10.49,60,16,1.07,2000,889,-7.760000000000002,0,1,0
MRRFX,3,16769,6.14,45.33,98,20.75,25,4,1.35,100,381,-5.290000000000001,0,0,0
GVEZX,3,69439,16.96,45.48,150,20.55,92,4,0.89,1000,1256,-7.4,0,1,0
VMMCX,4,12007,15.14,44.72,438,16.54,63,5,0.15,0,175,-6.630000000000001,0,1,0
CBBZX,4,40460,18.02,38.82,72,28.98,55,7,0.61,2000000,1707,-5.7200000000000015,0,1,0
AFGFX,2,204556,29.24,44.46,48,49.36,63,7,0.62,0,1300,10.229999999999997,1,1,0
PQNCX,3,19560,17.81,43.95,139,16.58,197,7,1.74,1000,1399,-11.19,0,0,0
SCAUX,4,35753,30.81,52.58,108,19.53,122,0,1.18,1000,197,-12.11,0,0,0
NBGIX,5,6324,22.34,29.3,104,21.86,11,18,0.84,1000000,12281,3.4499999999999997,1,1,0
JCONX,1,19870,10.25,48.6,45,44.05,68,4,0.66,1000000,3785,7.43,1,1,0
RVPCX,3,1451,-4.27,24.78,115,22.54,53,17,2.11,2000,355,8.469999999999999,1,0,0
MDIVX,3,70414,26.43,53.55,77,26.79,46,8,0.65,1000000,276,-6.050000000000002,0,1,0
ESERX,3,41817,17.23,46.77,30,48.85,18,9,0.75,1000000,1023,3.03,1,1,0
SSVSX,3,71972,28.52,44.86,79,30.32,102,2,1.23,2500,48,-4.16,0,0,0
NLCAX,3,170202,30.98,45.13,55,48.25,83,7,1.04,1000,1389,5.830000000000003,1,0,0
CTVIX,5,2048,1.48,29.51,29,58.07,225,14,1.55,2500,9,-13.8,0,1,0
MAFOX,4,203435,30.85,43.45,46,46.84,47,4,0.67,2000000,2011,10.72,1,1,0
EIVIX,2,107025,18.02,46.08,44,32.42,34,7,0.7,1000000,821,-4.800000000000002,0,1,0
GTMRX,2,9332,3.32,35.32,107,18.49,76,2,1.52,0,3061,12.5,1,0,0
ARDGX,2,53645,24.48,52.91,43,29.39,37,4,0.98,2500,19,-11.54,0,1,0
AMVGX,3,16969,11.87,41.78,96,20.7,55,14,0.78,0,8390,-7.420000000000001,0,1,1
MXVHX,2,59992,18.2,51.39,175,18.96,28,5,0.51,0,1280,-5.840000000000002,0,1,0
IYVBX,3,48303,12.48,47.31,39,33.44,68,18,2.35,750,1222,-10.010000000000002,0,0,1
WLVKX,2,33482,24.92,37.89,107,18.24,165,4,1.48,1000,60,-5.110000000000001,0,0,0
JGASX,3,128578,28.69,43.23,84,37.27,47,10,0.89,1000000,14589,14.259999999999998,1,1,0
CBEAX,4,33782,12.31,41.77,48,29.69,33,16,1.07,1000,264,-5.990000000000001,0,0,0
RYTRX,3,3281,10.97,33.17,119,17.55,21,14,1.21,2000,1368,-7.15,0,1,0
MPSSX,2,3360,-3.49,35.13,267,11.34,74,6,1.03,10000,782,2.92,1,1,0
MGPIX,3,6271,15.07,38.14,251,12.61,457,5,1.77,15000,39,-2.7900000000000014,0,1,0
MEYWX,2,82467,20.58,42.51,72,27.01,49,9,0.05,0,69,4.819999999999999,1,1,0
MMECX,2,592,-2.27,42.18,146,11.18,40,7,2.46,2500,80,-11.67,0,0,0
PVADX,3,3571,11.05,36.95,150,21.61,126,9,1.07,1000000,562,-13.32,0,1,0
DGEZX,2,82092,19.2,48.02,93,32.2,43,3,0.74,0,402,-7.840000000000002,0,1,0
GSPIX,2,141916,23.2,44.33,181,26.89,47,14,0.76,1000000,1060,3.33,1,1,0
MBIRX,1,42148,-9.08,34.39,45,48.8,93,16,0.77,10000000,7829,35.86,1,1,0
LEVIX,4,66029,18.51,43.93,27,58.67,33,9,0.76,10000,2006,-2.460000000000001,0,1,0
GSURX,3,122717,29.04,43.42,152,32.47,213,9,1.19,0,1075,-2.25,0,0,0
EKORX,3,112911,22.57,38.14,58,38.42,23,8,1.52,0,1097,8.95,1,1,0
STRGX,3,12539,15.03,39.87,52,27.81,9,9,0.91,1000000,62,-6.820000000000001,0,1,0
FOCCX,2,160048,20.05,44.42,31,65.46,53,11,1.78,500,751,4.6,1,0,0
NTIAX,2,6330,10.72,40.42,403,8.73,14,2,0.45,2000,3403,-2.7300000000000013,0,1,0
GSMSX,3,16021,6.49,43.96,114,16.66,87,4,1.36,0,1100,-4.100000000000001,0,1,0
LBWCX,3,73939,24.28,47.34,218,31.14,54,10,1.08,1000,533,-9.4,0,0,0
JLGIX,4,121601,25.22,34.78,34,43.28,113,9,1.26,250000,65,5.119999999999999,1,1,0
CMGIX,3,19574,15.58,35.82,77,26.43,35,8,0.8,2000000,14123,11.41,1,1,0
HWLAX,2,49097,6.98,49.87,58,37.95,29,24,1.2,2500,420,-10.010000000000002,0,0,0
VSVYX,3,71972,28.52,44.86,79,30.32,102,2,1.0,1000000,48,-3.7100000000000013,0,1,0
RSEDX,3,78571,15.06,45.17,71,26.29,15,8,0.71,0,2446,-5.670000000000001,0,1,0
QASGX,2,2083,-2.6,37.62,253,13.61,227,8,1.13,1500,905,2.2199999999999993,1,0,0
TWGIX,4,280056,28.23,40.35,82,53.59,33,10,0.77,5000000,11932,8.77,1,1,0
GRGVX,2,179767,27.35,46.21,46,39.03,65,7,1.3,0,12,2.3599999999999994,1,0,1
MDKFX,2,6298,10.65,40.51,403,7.55,18,8,0.68,0,446,-3.1300000000000012,0,1,0
BOSCX,3,2505,2.26,34.47,116,17.65,80,12,2.31,1000,186,-7.07,0,0,0
IRGUX,4,21281,15.59,41.47,351,11.72,38,8,0.65,0,690,6.73,1,1,0
DWOIX,2,189215,24.91,39.71,53,46.16,55,2,0.78,1000,2198,10.689999999999998,1,1,0
ACFCX,1,97420,8.57,42.44,40,50.68,27,5,1.35,2500,2197,19.35,1,0,0
